Start,End,Open,High,Low,Close,Volume,Market Cap
2023-07-01,2023-07-05,30493.64,31332.23,30263.48,30771.96,51586989640.86272,595601773472.6788
2023-06-01,2023-07-01,27234.27,31392.97,24876.67,30492.03,47116962434.83514,536588680414.12335
2023-05-01,2023-06-01,29190.79,29780.05,25954.76,27225.77,39080280822.87264,532869345649.0337
2023-04-01,2023-05-01,28467.8828500776,30955.8686,27121.8,29310.54,39911584171.06545,557484228304.0994
2023-03-01,2023-04-01,23126.843108390378,29156.3807,19596.8698,28467.19662927388,55522024519.4651,481705733712.89386
2023-02-01,2023-03-01,23130.9161,25188.2965,21435.239489971147,23139.076794118864,65929479926.2483,447715283414.6499
2023-01-01,2023-02-01,16537.4542,23926.159,16507.3906,23153.2004,59386699524.00001,384510333667.56586
2022-12-01,2023-01-01,17165.41156726685,18329.450172030054,16366.3141,16538.3479,34950036293.778946,325804826147.8806
2022-11-01,2022-12-01,20495.705989306138,21461.0794385223,15598.4951,17188.63467960707,67562373175.92259,341114057079.29755
2022-10-01,2022-11-01,19424.060071751013,21003.5573107331,18290.6714,20504.46022827177,61711882645.77687,375907081672.7681
2022-09-01,2022-10-01,20053.474,22698.77166532257,18200.895538073728,19449.60773627301,66825321561.8652,379563197932.57745
2022-08-01,2022-09-01,23311.5556,25136.0173,19539.5807,20046.9471,60101340966.08557,430137516912.7872
2022-07-01,2022-08-01,19922.81904792033,24589.353570680123,18973.251867430583,23314.4296,66574934207.47284,408300844881.42737
2022-06-01,2022-07-01,31779.99955446586,31945.459415006106,17697.70249655679,19816.746359929737,60713676480.55924,470956365570.8773
2022-05-01,2022-06-01,37636.0214183511,39925.6099,26812.8459,31852.83438318997,68046927819.21772,610469073741.4056
2022-04-01,2022-05-01,45520.19684145574,47331.9547,37653.4124271168,37660.452922140656,68834646957.25175,793691597952.667
2022-03-01,2022-04-01,43182.0054,48129.973865901775,37172.818131092376,45540.826387141926,63947640232.28987,796877135005.4819
2022-02-01,2022-03-01,38465.16237460108,45648.6513,34408.5293276475,43181.1437,64105666978.079865,768016330539.3352
